"NEW YORK Apple Inc has made a ""promising start"" to enhancing its antitrust compliance program after being found liable last year for conspiring to raise e-book prices  but more work is required  a court-appointed monitor said Monday.",2014-04-14
"NEW YORK  April 14 Apple Inc has made a ""promising start"" to enhancing its antitrust compliance program after being found liable last year for conspiring to raise e-book prices  but more work is required  a court-appointed monitor said Monday.",2014-04-14
(The opinions expressed here are those of the author  a columnist for Reuters.),2014-04-14
CHICAGO A resounding shot across the bow has been fired at the tech sector in recent weeks. The tech-heavy Nasdaq Composite Index is down nearly 5 percent in April through Friday's close and the Nasdaq Biotechnology Index is off 21 percent from its record closing high on February 25. Many of the sector's flagships and newcomers have been in the crosshairs.,2014-04-14
NEW YORK Apple Inc on Tuesday lost an attempt to dismiss lawsuits by state attorneys general accusing it of conspiring with five major publishers to fix e-book prices.,2014-04-15
NEW YORK  April 15 Apple Inc on Tuesday lost an attempt to dismiss lawsuits by state attorneys general accusing it of conspiring with five major publishers to fix e-book prices.,2014-04-15
"SAN FRANCISCO Witnesses at an upcoming trial over no-hire agreements in Silicon Valley should not be allowed to offer evidence that Apple co-founder Steve Jobs was ""a bully "" four major tech companies argued in a court filing.",2014-04-15
NEW YORK  April 15 Major U.S. wireless carriers and smartphone makers have agreed to introduce tools to enable users to lock their devices and wipe them clean of data if stolen  responding to pressure on the telecommunications industry to do more to stem theft.,2014-04-15
 ,2014-04-15
NEW YORK  April 15 U.S. stocks ended higher after a volatile session on Tuesday  lifted by gains in Coca-Cola and Johnson & Johnson  though weakness in Apple  Tesla and Netflix limited the Nasdaq's advance.,2014-04-15
SEOUL  April 18 Samsung Electronics Co  said on Friday it would license its latest chip manufacturing technology to U.S. firm GlobalFoundries  a move that would help it expand production as it vies with bigger rival TSMC for orders from customers like Apple Inc .,2014-04-17
SAN FRANCISCO  April 17 A U.S. judge on Thursday rejected a request by patent consortium Rockstar to transfer patent litigation from Google Inc's home turf in California to Texas  according to a court ruling.,2014-04-17
NEW YORK Earnings season shifts into high gear next week  and with nearly one-third of S&P 500 names set to post results  investors hope the news provides a catalyst to buy stocks and leave the market's recent weakness in the dust.,2014-04-17
NEW YORK  April 17 Earnings season shifts into high gear next week  and with nearly one-third of S&P 500 names set to post results  investors hope the news provides a catalyst to buy stocks and leave the market's recent weakness in the dust.,2014-04-17
SAN FRANCISCO  April 17 Four large technology companies should not be allowed to limit evidence about Apple Inc co-founder Steve Jobs at an upcoming trial over no-hire agreements in Silicon Valley  according to a court document filed late on Thursday by employees suing the firms.,2014-04-18
SAN FRANCISCO Four large technology companies should not be allowed to limit evidence about Apple Inc co-founder Steve Jobs at an upcoming trial over no-hire agreements in Silicon Valley  according to a court document filed late on Thursday by employees suing the firms.,2014-04-18
Apple Inc and Google Inc are wooing game developers to ensure that top game titles arrive first on devices powered by their respective operating system  the Wall Street Journal reported  citing people familiar with the matter.,2014-04-21
April 20 Apple Inc and Google Inc  are wooing game developers to ensure that top game titles arrive first on devices powered by their respective operating system  the Wall Street Journal reported  citing people familiar with the matter.,2014-04-21
