MILAN Google has paid a 1 million euro ($1.4 million) fine imposed by Italy's data protection watchdog over complaints that cars it used to record images on Italian streets in 2010 were not clearly recognizable  the regulator said on Thursday.,2014-04-03
SAN FRANCISCO  April 3 Nest Labs Inc  the maker of smart thermostats that Google Inc acquired for $3.2 billion  called a halt to all sales of its smoke alarms on Thursday after it discovered a possible defect that could cause users to turn it off unintentionally.,2014-04-03
SAN FRANCISCO Nest Labs Inc  the maker of smart thermostats that Google Inc acquired for $3.2 billion  called a halt to all sales of its smoke alarms on Thursday after it discovered a possible defect that could cause users to turn it off unintentionally.,2014-04-03
(Removes line on Google not responding to requests for comment),2014-04-03
NEW YORK  April 3 U.S. stock index futures were little changed on Thursday  after the S&P 500 set a record for a second straight day  ahead of data on the labor market and services sector.,2014-04-03
* Indexes off: Dow 0.07 pct  S&P 0.11 pct  Nasdaq 0.37 pct   (Updates to open  adds ISM data),2014-04-03
* Futures: Dow 7 pts  S&P 0.25 pt  Nasdaq off 1.5 pts   (Adds data  ECB announcement  updates prices),2014-04-03
SAN FRANCISCO The personal data gathering abilities of Google  Facebook and other tech companies has sparked growing unease among Americans  with a majority worried that Internet companies are encroaching too much upon their lives  a new poll showed.,2014-04-04
BERLIN Big retailers are muscling in on the likes of Visa  MasterCard and Google in a fiercely competitive and growing mobile payment market that promises to cut transaction costs and increase customer loyalty.,2014-04-06
* Mobile payments can cut retailers' costs  boost service-study,2014-04-06
* Mobile payments can cut retailers' costs  boost service-study,2014-04-07
SAN FRANCISCO Amazon.com Inc  a company known for its ruthless drive  is courting the free-wheeling coders and dreamers of the gaming industry with a lighter touch as it seeks to break into an arena now dominated by Apple and Google.,2014-04-08
SAN FRANCISCO  April 8 Amazon.com Inc  a company known for its ruthless drive  is courting the free-wheeling coders and dreamers of the gaming industry with a lighter touch as it seeks to break into an arena now dominated by Apple and Google.,2014-04-08
WASHINGTON/NEW YORK Comcast Corp sought to rebut critics of its planned $45.2 billion takeover of Time Warner Cable Inc  arguing that newcomers like Google Inc and Apple Inc would ensure competition in both Internet and video markets.,2014-04-08
* Says merger would not eliminate cable or broadband competition   (Recasts throughout; adds details on broadband market),2014-04-08
SAN FRANCISCO  April 10 Google Inc  will take online orders for its Glass wearable gadget on April 15  in its biggest push to get the $1 500 wraparound Web-ready glasses out to the U.S. public.,2014-04-10
SAN FRANCISCO Google Inc will take online orders for its Glass wearable gadget on April 15  in its biggest push to get the $1 500 wraparound Web-ready glasses out to the U.S. public.,2014-04-10
April 10 Motorola Mobility has named Rick Osterloh as its chief operating officer  reporting to the Motorola Operating Board at Google Inc until its acquisition by Lenovo Group Ltd is completed.,2014-04-10
Motorola Mobility has named Rick Osterloh as its chief operating officer  reporting to the Motorola Operating Board at Google Inc until its acquisition by Lenovo Group Ltd is completed.,2014-04-10
(The opinions expressed here are those of the author  a columnist for Reuters.),2014-04-14
(Corrects reference to Facebook acquisition talks in third paragraph to show it was based on Media reports in March from Facebook saying in March),2014-04-14
(Adds Google  Twitter  Glencore Xstrata  TIAA-CREF; Updates Disney  ThyssenKrupp  Glencore  Insurer Endurance),2014-04-14
SAN FRANCISCO  April 14 Google Inc   updated its terms of service on Monday  informing users that their incoming and outgoing emails are automatically analyzed by software to create targeted ads.,2014-04-14
Google Inc has acquired solar-powered drone maker Titan Aerospace as the Web search giant ramps up plans to deliver wireless Internet access to remote parts of the world.,2014-04-14
SAN FRANCISCO Google Inc updated its terms of service on Monday  informing users that their incoming and outgoing emails are automatically analyzed by software to create targeted ads.,2014-04-14
CHICAGO A resounding shot across the bow has been fired at the tech sector in recent weeks. The tech-heavy Nasdaq Composite Index is down nearly 5 percent in April through Friday's close and the Nasdaq Biotechnology Index is off 21 percent from its record closing high on February 25. Many of the sector's flagships and newcomers have been in the crosshairs.,2014-04-14
April 14 Facebook Inc is preparing to join the mobile-payments race with remittances and electronic-money services on the social network  the Financial Times reported on Sunday  citing several people involved in the process.,2014-04-14
April 14 Google Inc  has acquired solar-powered drone maker Titan Aerospace as the Web search giant ramps up plans to deliver wireless Internet access to remote parts of the world.,2014-04-14
SAN FRANCISCO  April 14 Google Inc   updated its terms of service on Monday  informing users that their incoming and outgoing emails are automatically analyzed by software to create targeted ads.,2014-04-14
Google Inc has acquired solar-powered drone maker Titan Aerospace as the Web search giant ramps up plans to deliver wireless Internet access to remote parts of the world. | Video ,2014-04-15
April 14 Yahoo Inc and Vevo  an online music video hub that provides some of the most popular content on Google's YouTube  have expanded their content and regional partnership  Vevo said Monday amid mounting competition for online viewers.,2014-04-15
Yahoo Inc and Vevo  an online music video hub that provides some of the most popular content on Google's YouTube  have expanded their content and regional partnership  Vevo said Monday amid mounting competition for online viewers.,2014-04-15
* China GDP grows 7.4 pct  slightly ahead of forecasts     * European shares rebound  Wall Street rallies  Yahoo shines     * Oil rises close to $110 on mounting Ukraine tension   (Adds close of U.S. markets  Google  IBM results)     By Herbert Lash     NEW YORK  April 16 Global equity markets advanced broadly on Wednesday after China reported growth that beat expectations  providing relief to investors worried about the Chinese economy  while the dollar eased on the growing view the,2014-04-16
SAN FRANCISCO Google Inc's first-quarter revenue fell short of Wall Street targets and margins narrowed as the price of its ads continued to decline  pushing its shares sharply lower.,2014-04-16
SAN FRANCISCO  April 16 Google Inc's   first-quarter revenue fell short of Wall Street targets and margins narrowed as the price of its ads continued to decline  pushing its shares sharply lower.,2014-04-16
* Enters cooperation with Google's Nest to sell thermostats,2014-04-16
NEW YORK Stocks ended a holiday-shortened week with mostly modest gains on Thursday  though the S&P 500 notched its biggest weekly advance since July as Morgan Stanley and General Electric rallied after strong results. | Video ,2014-04-17
BOSTON One of the biotechnology sector's worst two-week declines in the past decade has clobbered one of Fidelity Investments' hottest funds.,2014-04-17
Google Inc's disappointing first-quarter results left Wall Street unfazed about the internet giant's ability to come to grips with the shift to the fast-growing mobile advertising market.,2014-04-17
SAN FRANCISCO A U.S. judge on Thursday rejected a request by patent consortium Rockstar to transfer patent litigation from Google Inc's home turf in California to Texas  according to a court ruling.,2014-04-17
SAN FRANCISCO  April 17 A federal judge in California on Thursday rejected a request by patent consortium Rockstar to transfer patent litigation against Google Inc  to Texas  according to a court ruling.,2014-04-17
"(Replaces extraneous word ""market"" for ""most"" in quote in 6th paragraph )",2014-04-17
SAN FRANCISCO  April 17 A U.S. judge on Thursday rejected a request by patent consortium Rockstar to transfer patent litigation from Google Inc's home turf in California to Texas  according to a court ruling.,2014-04-17
SAN FRANCISCO  April 17 A U.S. judge on Thursday rejected a request by patent consortium Rockstar to transfer patent litigation from Google Inc's home turf in California to Texas  according to a court ruling.,2014-04-17
* S&P 500 scores biggest weekly percentage gain since July,2014-04-17
* Jobless claims rise less than expected; Philly Fed jumps,2014-04-17
Apple Inc and Google Inc are wooing game developers to ensure that top game titles arrive first on devices powered by their respective operating system  the Wall Street Journal reported  citing people familiar with the matter.,2014-04-21
April 20 Apple Inc and Google Inc  are wooing game developers to ensure that top game titles arrive first on devices powered by their respective operating system  the Wall Street Journal reported  citing people familiar with the matter.,2014-04-21
(The opinions expressed here are those of the author  a columnist for Reuters.),2014-04-21
April 21 Square Inc has been in talks with several rivals for a possible sale as the mobile payments startup looks to stem widening losses and dwindling cash  the Wall Street Journal reported  citing people familiar with the matter.,2014-04-21
Square Inc has been in talks with several rivals for a possible sale as the mobile payments startup looks to stem widening losses and dwindling cash  the Wall Street Journal reported  citing people familiar with the matter.,2014-04-21
* S&P 500 coming off biggest weekly percentage gain since July,2014-04-21
* S&P 500 coming off biggest weekly percentage gain since July,2014-04-21
SAN FRANCISCO  April 22 Google Inc  will allow marketers to run online ads that send consumers to a page directly inside a mobile app  furthering the Internet company's effort to extend its multibillion-dollar advertising business to smartphones.,2014-04-22
ESSEN  Germany  April 23 German utility RWE  plans to sell more energy saving products  its head of strategy said  as it strives to offset some of the losses made by its power plants across Europe.,2014-04-23
SAN FRANCISCO  April 24 Four major tech companies including Apple and Google have agreed to settle a large antitrust lawsuit over no-hire agreements in Silicon Valley  according to a court filing on Thursday.,2014-04-24
SAN FRANCISCO Four major tech companies including Apple and Google have agreed to settle a lawsuit accusing them of conspiring to hold down salaries in Silicon Valley  just weeks before a high profile trial had been scheduled to begin.,2014-04-24
SAN FRANCISCO Four major tech companies including Apple and Google have agreed to pay a total of $324 million to settle a lawsuit accusing them of conspiring to hold down salaries in Silicon Valley  sources familiar with the deal said  just weeks before a high profile trial had been scheduled to begin.,2014-04-24
SAN FRANCISCO  April 24 Four major tech companies including Apple and Google have agreed to pay a total of $324 million to settle a lawsuit accusing them of conspiring to hold down salaries in Silicon Valley  sources familiar with the deal said  just weeks before a high profile trial had been scheduled to begin.,2014-04-24
SAN FRANCISCO  April 24 Google Inc   executive Vic Gundotra announced on Thursday that he is leaving the Internet search company after eight years.    (Reporting by Alexei Oreskovic),2014-04-24
SAN FRANCISCO Google Inc's head of social networking services  Vic Gundotra  is leaving the Internet search company  he said on Thursday  three years after overseeing the launch of the Google+ social network.,2014-04-24
April 24 The following are the top stories on the New York Times business pages. Reuters has not verified these stories and does not vouch for their accuracy.,2014-04-24
(Adds comments from Google and Linux Foundation officials),2014-04-24
SAN FRANCISCO  April 24 Google Inc's   head of social networking services  Vic Gundotra  is leaving the Internet search company  he said on Thursday  three years after overseeing the launch of the Google+ social network.,2014-04-24
SAN FRANCISCO Four major tech companies including Apple and Google have agreed to pay a total of $324 million to settle a lawsuit accusing them of conspiring to hold down salaries in Silicon Valley  sources familiar with the deal said  just weeks before a high profile trial had been scheduled to begin.,2014-04-25
WASHINGTON  April 25 A U.S. appeals court on Friday revived patent claims Apple made against Google's Motorola Mobility unit that had been dismissed shortly before trial  giving the iPhone maker another chance to seek a sales ban against its smartphone competitor.,2014-04-25
WASHINGTON  April 25 A U.S. appeals court on Friday revived patent claims Apple made against Google subsidiary Motorola Mobility over mobile phone technology that had been dismissed by an Illinois court.,2014-04-25
WASHINGTON A U.S. appeals court on Friday revived patent claims Apple made against Google's Motorola Mobility unit that had been dismissed shortly before trial  giving the iPhone maker another chance to seek a sales ban against its smartphone competitor.,2014-04-25
SAN FRANCISCO  April 28 Google Inc  said it has begun testing its self-driving cars on city streets  a crucial new phase in its quest to eventually make the technology a standard feature in automobiles.,2014-04-28
SAN FRANCISCO Google Inc said it has begun testing its self-driving cars on city streets  a crucial new phase in its quest to eventually make the technology a standard feature in automobiles.,2014-04-28
"April 28 Microsoft Corp said it will increase its cloud storage offering for business users by 40-fold as the world's largest software company makes a case for businesses buying an all-in-one product from itself rather than buying technology ""piecemeal"" from multiple sellers.",2014-04-29
SAN JOSE  Calif.  April 29 Apple has vastly exaggerated the importance of its patented iPhone features  a Samsung attorney said on Tuesday as the two companies delivered closing arguments to jurors after a month-long trial over mobile technology.,2014-04-29
SAN FRANCISCO  April 30 Facebook Inc  rolled out a new service that it envisions will distribute ads across a network of mobile applications  opening the door to a new source of revenue for the Internet social network.,2014-04-30
SAN FRANCISCO Facebook introduced new features on Wednesday that let users limit how much personal information they share with third-party mobile apps  a move meant to quell privacy concerns as the social network seeks to become a top entry port to the Internet.,2014-04-30
MOSCOW Fortune has smiled on judo coach Arkady Rotenberg  bringing his businesses Google-like growth and a key role in staging the Winter Olympics. It has now brought down on him the wrath of the United States government.,2014-04-30
* Sanctioned businessman is Putin's childhood judo partner,2014-04-30
* Sanctioned businessman is Putin's childhood judo partner,2014-05-01
* M&A and other advisory fees double   (Updates share price  adds Breakingviews link),2014-05-01
SAN FRANCISCO Activists have sued the city and county of San Francisco over a pilot program giving shuttles run by Google and other private companies access to municipal bus stops  claiming it favors higher-paid technology workers over low-income residents.,2014-05-02
SAN FRANCISCO  May 2 Activists have sued the city and county of San Francisco over a pilot program giving shuttles run by Google and other private companies access to municipal bus stops  claiming it favors higher-paid technology workers over low-income residents.,2014-05-02
"Consumer rights law firm Hagens Berman said it filed a nationwide antitrust class-action lawsuit against Google Inc alleging the company ""illegally monopolized"" the Internet and mobile search market in the United States.",2014-05-02
"May 1 Consumer rights law firm Hagens Berman said it filed a nationwide antitrust class-action lawsuit against Google Inc alleging the company ""illegally monopolized"" the Internet and mobile search market in the United States.",2014-05-02
"May 2 Consumer rights law firm Hagens Berman said it filed a nationwide antitrust class-action lawsuit against Google Inc alleging the company ""illegally monopolized"" the Internet and mobile search market in the United States.",2014-05-02
SAN FRANCISCO Activists have sued the city and county of San Francisco over a pilot program giving shuttles run by Google and other private companies access to municipal bus stops  claiming it favors higher-paid technology workers over low-income residents.,2014-05-03
Hewlett-Packard Co said it plans to invest more than $1 billion over the next two years to develop and offer cloud-computing products and services.,2014-05-07
May 7 Hewlett-Packard Co said it plans to invest more than $1 billion over the next two years to develop and offer cloud-computing products and services.,2014-05-07
"WASHINGTON Over 100 leading technology companies  including Google Inc  Facebook Inc  Twitter Inc and Amazon.com Inc  have written to U.S. telecom regulators to oppose a new ""net neutrality"" plan that would regulate how Internet providers manage web traffic.",2014-05-07
"WASHINGTON More than 100 technology companies  including Google Inc  Facebook Inc  Twitter Inc and Amazon.com Inc  have written to U.S. telecom regulators to oppose a new ""net neutrality"" plan that would regulate how Internet providers manage Web traffic.",2014-05-08
NEW YORK/LONDON The collapse of the $35 billion merger of New York-based Omnicom with France's Publicis is likely to lead the world's biggest ad agencies to think small as they try to counter the challenge from internet giants like Google.,2014-05-11
May 12 One of the plaintiffs in a lawsuit that accuses tech firms including Apple Inc and Google Inc  of conspiring to hold down salaries has asked the court to reject a $324 million settlement negotiated by his own lawyers.,2014-05-12
One of the plaintiffs in a lawsuit that accuses tech firms including Apple Inc and Google Inc of conspiring to hold down salaries has asked the court to reject a $324 million settlement negotiated by his own lawyers.,2014-05-12
(Corrects number of citizens in third paragraph to 500 million from 500),2014-05-14
"SAN FRANCISCO Google Inc is already getting requests to remove objectionable personal information from its search engine after Europe's top court ruled that subjects have the ""right to be forgotten "" a source familiar with the matter said on Wednesday.",2014-05-14
